dataset,method,method_label,run_timestamp,source,ratio,auc,ekr,esr,compression_ratio,accepted_events,mean_auc,mean_ekr,mean_esr
nmnist,proposed_sup,Proposed +SUP,20260522_132414_362184,ba,0.5,0.5342454986729354,0.06990500539541245,0.09209770167533556,14.305127936607672,28647,0.6345142782573642,0.22357558757066726,0.36015578387915037
nmnist,proposed_sup,Proposed +SUP,20260522_132414_362184,ba,1.0,0.5491314168294567,0.0780969187617302,0.1257325246432088,12.80460254968129,42672,0.6345142782573642,0.22357558757066726,0.36015578387915037
nmnist,proposed_sup,Proposed +SUP,20260522_132414_362184,ba,2.0,0.575573127646517,0.08932072669267654,0.18631107727334287,11.195609709454015,73207,0.6345142782573642,0.22357558757066726,0.36015578387915037
nmnist,proposed_sup,Proposed +SUP,20260522_132414_362184,ba,5.0,0.7096544711315992,0.2158353477716446,0.5185414295074287,4.633161482888444,353796,0.6345142782573642,0.22357558757066726,0.36015578387915037
nmnist,proposed_sup,Proposed +SUP,20260522_132414_362184,ba,10.0,0.8039668770063124,0.6647199392318726,0.8780961862964359,1.5043930018336922,1997609,0.6345142782573642,0.22357558757066726,0.36015578387915037
nmnist,proposed_sup,Proposed +SUP,20260522_132414_362184,mixed,0.5,0.5361266057199333,0.07078475505113602,0.09425363928857719,14.12733540158566,29010,0.6290905371818859,0.1931113824248314,0.3363079659881625
nmnist,proposed_sup,Proposed +SUP,20260522_132414_362184,mixed,1.0,0.5434496107356782,0.06874912977218628,0.11102163624317805,14.545638459286076,37567,0.6290905371818859,0.1931113824248314,0.3363079659881625
nmnist,proposed_sup,Proposed +SUP,20260522_132414_362184,mixed,2.0,0.5661065007820091,0.0778539776802063,0.16309722949205524,12.844559017112768,63812,0.6290905371818859,0.1931113824248314,0.3363079659881625
nmnist,proposed_sup,Proposed +SUP,20260522_132414_362184,mixed,5.0,0.6900699056044202,0.17386214435100555,0.4594855764479372,5.751683315614222,285003,0.6290905371818859,0.1931113824248314,0.3363079659881625
nmnist,proposed_sup,Proposed +SUP,20260522_132414_362184,mixed,10.0,0.8097000630673887,0.5743069052696228,0.8536817484690646,1.741229325543101,1725922,0.6290905371818859,0.1931113824248314,0.3363079659881625
nmnist,proposed_sup,Proposed +SUP,20260522_132414_362184,shot,0.5,0.5324049630043571,0.05983646214008331,0.08105812978817638,16.71221760052198,24522,0.6195155782784804,0.1308208368718624,0.28940955127947027
nmnist,proposed_sup,Proposed +SUP,20260522_132414_362184,shot,1.0,0.5391878923362106,0.05775618180632591,0.09619361710694402,17.31416349809886,31560,0.6195155782784804,0.1308208368718624,0.28940955127947027
nmnist,proposed_sup,Proposed +SUP,20260522_132414_362184,shot,2.0,0.5680714083276808,0.07085799425840378,0.15946617666975355,14.112733534222988,58075,0.6195155782784804,0.1308208368718624,0.28940955127947027
nmnist,proposed_sup,Proposed +SUP,20260522_132414_362184,shot,5.0,0.646769957841395,0.1067250445485115,0.3394192511685621,9.36987201838271,174947,0.6195155782784804,0.1308208368718624,0.28940955127947027
nmnist,proposed_sup,Proposed +SUP,20260522_132414_362184,shot,10.0,0.8111436698827583,0.35892850160598755,0.7709105816639154,2.7860701544896944,1078648,0.6195155782784804,0.1308208368718624,0.28940955127947027
nmnist,proposed_lowmem,Proposed Low-Mem,20260522_144740_407941,ba,0.5,0.49654465254002605,0.003089319448918104,0.0008272358244356678,323.6958925750395,1266,0.49866683479834684,0.0016510435030795633,0.0004641305422054986
nmnist,proposed_lowmem,Proposed Low-Mem,20260522_144740_407941,ba,1.0,0.49794472633599784,0.002591517521068454,0.0005600313324719344,385.8742937853107,1416,0.49866683479834684,0.0016510435030795633,0.0004641305422054986
nmnist,proposed_lowmem,Proposed Low-Mem,20260522_144740_407941,ba,2.0,0.4991453087652866,0.001526359934359789,0.00039531623468607135,655.1534772182255,1251,0.49866683479834684,0.0016510435030795633,0.0004641305422054986
nmnist,proposed_lowmem,Proposed Low-Mem,20260522_144740_407941,ba,5.0,0.4997635422217848,0.0006789922481402755,0.00028550616949549597,1472.7708894878706,1113,0.49866683479834684,0.0016510435030795633,0.0004641305422054986
nmnist,proposed_lowmem,Proposed Low-Mem,20260522_144740_407941,ba,10.0,0.49993594412863884,0.00036902836291119456,0.00025256314993832334,2709.818755635708,1109,0.49866683479834684,0.0016510435030795633,0.0004641305422054986
